Gene_ID	NC_8ss_rep1	NC_8ss_rep2	NC_8ss_rep3	NC_8ss_rep4	NC_5ss_rep1	NC_5ss_rep2	NC_5ss_rep3	NC_5ss_rep4	Neg_rep1	Neg_rep2	Neg_rep3
ENSGALG00000047845	40	50	51	38	25	1	42	51	33	186	128
ENSGALG00000008132	1132	1046	1497	1512	1296	1119	1748	1419	1281	1762	1805
ENSGALG00000008123	465	317	380	416	554	461	597	759	429	554	471
ENSGALG00000045949	41	32	70	47	36	45	59	65	50	45	47
ENSGALG00000008115	314	316	279	250	262	221	265	276	156	204	257
ENSGALG00000054032	3	19	20	37	41	85	21	38	7	37	56
ENSGALG00000052028	5	10	0	14	4	4	9	6	13	24	11
ENSGALG00000029006	44	150	201	131	240	155	459	480	194	323	556
ENSGALG00000008098	388	332	615	612	490	213	508	585	200	230	428
ENSGALG00000031636	5	0	0	20	0	0	0	10	0	0	6
ENSGALG00000048516	0	4	1	1	0	0	1	0	1	3	0
ENSGALG00000008081	61	131	19	189	146	38	36	97	105	123	107
ENSGALG00000008060	12	47	3	25	12	8	32	28	14	22	10
ENSGALG00000008050	1356	1590	892	1371	1863	2088	1745	1971	1541	747	1079
ENSGALG00000042764	960	995	970	1070	1189	1213	986	984	1011	659	820
ENSGALG00000008032	42	36	46	121	66	36	69	11	11	91	63
ENSGALG00000023661	713	725	636	770	946	939	800	1059	748	764	906
ENSGALG00000008009	1258	1024	2753	2147	1650	1400	2149	2489	1122	3825	2780
ENSGALG00000007998	23	42	19	24	37	24	70	72	31	31	28
ENSGALG00000038981	1511	1839	1536	1370	2711	2975	2115	2055	2018	1610	1918
ENSGALG00000007959	5	14	3	2	17	26	3	10	28	6	2
ENSGALG00000007931	946	990	2107	2071	1242	1026	2165	2597	830	2298	2686
ENSGALG00000007905	7143	6876	13756	12921	9802	6104	13821	11625	4243	13917	12376
ENSGALG00000007917	258	256	268	316	221	236	291	320	133	146	73
ENSGALG00000007183	1357	1173	1980	2171	1346	2168	1959	2218	1173	2442	1967
ENSGALG00000007161	257	279	204	357	257	419	348	450	226	223	304
ENSGALG00000035940	169	206	178	124	155	79	107	117	18	103	90
ENSGALG00000049464	27	11	21	10	34	14	30	5	24	23	7
ENSGALG00000038806	55	64	20	10	20	48	22	23	29	26	15
ENSGALG00000042554	99	72	94	84	155	54	110	123	51	170	114
ENSGALG00000042244	0	5	0	3	0	4	15	1	0	6	0
ENSGALG00000007098	1854	2204	1496	2608	2493	2088	2743	1987	1544	2201	1937
